date	MCP9808_temp	MCP9808_temp2	MCP9808_temp3	DHT22_hum	DHT22_temp
03:July:2016:18:58:03	26.0625	26.0625	26.3750	37.50	26.90
03:July:2016:18:58:34	26.0625	26.0000	26.3750	37.00	26.80
03:July:2016:18:59:05	26.0625	25.9375	26.3125	37.40	26.80
03:July:2016:18:59:36	26.0625	25.9375	26.3125	37.00	26.80
03:July:2016:19:00:07	26.0625	25.9375	26.3750	37.30	26.80
03:July:2016:19:00:38	26.0625	25.8125	26.3125	38.40	26.90
03:July:2016:19:01:09	26.0000	25.7500	26.3125	37.00	26.80
03:July:2016:19:01:40	25.9375	25.6875	26.3125	37.00	26.80
03:July:2016:19:02:11	25.8750	25.6875	26.2500	37.00	26.80
03:July:2016:19:02:42	25.8750	25.6875	26.2500	37.00	26.70
03:July:2016:19:03:13	25.9375	25.6875	26.2500	37.00	26.70
03:July:2016:19:03:44	25.9375	25.7500	26.2500	37.00	26.70
03:July:2016:19:04:15	25.9375	25.8125	26.1875	37.00	26.70
03:July:2016:19:04:47	25.8750	25.8125	26.2500	37.50	26.70
03:July:2016:19:05:18	25.8750	25.6875	26.2500	37.80	26.70
03:July:2016:19:05:49	25.8750	25.6875	26.1875	37.50	26.70
03:July:2016:19:06:20	25.8125	25.6250	26.1875	37.70	26.60
03:July:2016:19:06:51	25.7500	25.5625	26.1875	37.00	26.70
03:July:2016:19:07:22	25.7500	25.5625	26.1875	36.90	26.60
03:July:2016:19:07:53	25.7500	25.6250	26.1875	37.40	26.70
03:July:2016:19:08:24	25.8125	25.6875	26.1875	37.70	26.60
03:July:2016:19:08:55	25.7500	25.6875	26.1250	37.90	26.60
03:July:2016:19:09:26	25.7500	25.6875	26.1250	38.30	26.60
03:July:2016:19:09:57	25.6875	25.5625	26.1250	38.20	26.60
03:July:2016:19:10:28	25.6250	25.4375	26.1250	37.70	26.60
03:July:2016:19:10:59	25.6250	25.4375	26.0625	36.90	26.60
03:July:2016:19:11:30	25.6250	25.5000	26.0000	37.60	26.50
03:July:2016:19:12:01	25.6250	25.5000	26.0000	37.70	26.50
03:July:2016:19:12:32	25.6250	25.5625	26.0000	37.90	26.50
03:July:2016:19:13:03	25.5625	25.5625	26.0000	38.30	26.50
03:July:2016:19:13:34	25.5000	25.4375	25.9375	38.60	26.50
03:July:2016:19:14:05	25.5000	25.5000	26.0000	38.40	26.50
03:July:2016:19:14:36	25.4375	25.3750	25.9375	39.10	26.50
03:July:2016:19:15:07	25.3750	25.3125	25.8750	37.10	26.40
03:July:2016:19:15:38	25.3750	25.2500	25.8125	36.70	26.40
03:July:2016:19:16:10	25.3125	25.2500	25.8125	37.00	26.40
03:July:2016:19:16:41	25.3750	25.3125	25.8750	37.30	26.40
03:July:2016:19:17:12	25.3750	25.3125	25.7500	38.00	26.40
03:July:2016:19:17:43	25.3125	25.3125	25.8125	38.20	26.30
03:July:2016:19:18:14	25.3125	25.3125	25.7500	38.50	26.30
03:July:2016:19:18:45	25.3125	25.3750	25.7500	38.80	26.30
03:July:2016:19:19:16	25.3125	25.3750	25.7500	38.50	26.30
03:July:2016:19:19:47	25.3125	25.3750	25.7500	38.70	26.30
03:July:2016:19:20:18	25.3125	25.3750	25.6875	39.00	26.30
03:July:2016:19:20:49	25.3125	25.3750	25.7500	38.90	26.30
03:July:2016:19:21:20	25.3125	25.3750	25.6875	39.30	26.20
03:July:2016:19:21:51	25.2500	25.3750	25.6875	39.30	26.20
03:July:2016:19:22:22	25.2500	25.3125	25.6875	39.60	26.20
03:July:2016:19:22:53	25.2500	25.3125	25.6875	39.60	26.20
03:July:2016:19:23:24	25.1875	25.2500	25.6250	39.80	26.20
03:July:2016:19:23:55	25.1250	25.2500	25.6250	40.10	26.20
03:July:2016:19:24:26	25.1875	25.3125	25.5625	40.60	26.20
03:July:2016:19:24:57	25.1875	25.2500	25.5625	40.30	26.20
03:July:2016:19:25:28	25.1250	25.2500	25.5625	39.50	26.20
03:July:2016:19:25:59	25.1250	25.2500	25.5625	40.40	26.20
03:July:2016:19:26:31	25.0625	25.2500	25.5625	40.30	26.10
03:July:2016:19:27:02	25.0625	25.2500	25.5000	40.00	26.10
03:July:2016:19:27:33	25.0625	25.2500	25.5000	40.40	26.10
03:July:2016:19:28:04	25.0000	25.1875	25.5000	40.00	26.10
